                                             pH record :

 Date        time(h:m:s) pH

17/11/2023    11:29:59  7.99 
17/11/2023    11:30:0  7.98 
17/11/2023    11:30:1  7.98 
17/11/2023    11:30:2  7.99 
17/11/2023    11:30:4  7.98 
17/11/2023    11:30:5  7.98 
17/11/2023    11:30:6  7.98 
17/11/2023    11:30:7  7.97 
17/11/2023    11:30:8  7.97 
17/11/2023    11:30:9  7.99 
17/11/2023    11:30:10  7.99 
17/11/2023    11:30:11  8.00 
17/11/2023    11:30:12  7.97 
17/11/2023    11:30:13  7.99 
17/11/2023    11:30:14  8.11 
17/11/2023    11:30:15  8.20 
17/11/2023    11:30:16  8.41 
17/11/2023    11:30:17  7.97 
17/11/2023    11:30:18  7.45 
17/11/2023    11:30:19  7.55 
17/11/2023    11:30:20  7.45 
17/11/2023    11:30:21  7.53 
17/11/2023    11:30:23  7.62 
17/11/2023    11:30:24  7.52 
17/11/2023    11:30:25  7.33 
17/11/2023    11:30:26  7.48 
17/11/2023    11:30:27  7.42 
17/11/2023    11:30:28  7.46 
17/11/2023    11:30:29  7.56 
17/11/2023    11:30:30  7.25 
17/11/2023    11:30:31  7.62 
17/11/2023    11:30:32  7.66 
17/11/2023    11:30:33  7.66 
17/11/2023    11:30:34  7.40 
17/11/2023    11:30:35  7.42 
17/11/2023    11:30:36  7.47 
17/11/2023    11:30:37  7.48 
17/11/2023    11:30:38  7.45 
17/11/2023    11:30:40  7.80 
17/11/2023    11:30:41  7.72 
17/11/2023    11:30:42  7.72 
17/11/2023    11:30:43  7.71 
17/11/2023    11:30:44  7.80 
17/11/2023    11:30:45  7.81 
17/11/2023    11:30:46  7.82 
17/11/2023    11:30:47  7.82 
17/11/2023    11:30:48  7.64 
17/11/2023    11:30:49  7.78 
17/11/2023    11:30:50  7.66 
Stopped
17/11/2023    11:34:17  7.55 
17/11/2023    11:34:18  7.55 
17/11/2023    11:34:19  7.54 
17/11/2023    11:34:20  7.54 
17/11/2023    11:34:21  7.54 
17/11/2023    11:34:22  7.54 
17/11/2023    11:34:24  7.54 
17/11/2023    11:34:25  7.54 
17/11/2023    11:34:26  7.54 
17/11/2023    11:34:27  7.54 
17/11/2023    11:34:28  7.54 
17/11/2023    11:34:29  7.54 
17/11/2023    11:34:30  7.54 
17/11/2023    11:34:31  7.54 
17/11/2023    11:34:32  7.54 
17/11/2023    11:34:33  7.54 
17/11/2023    11:34:34  7.53 
17/11/2023    11:34:36  7.53 
17/11/2023    11:34:37  7.54 
17/11/2023    11:34:39  7.54 
17/11/2023    11:34:40  7.53 
17/11/2023    11:34:42  7.54 
17/11/2023    11:34:43  7.53 
17/11/2023    11:34:45  7.53 
17/11/2023    11:34:46  7.53 
17/11/2023    11:34:48  7.53 
17/11/2023    11:34:49  7.54 
17/11/2023    11:34:51  7.53 
17/11/2023    11:34:52  7.53 
17/11/2023    11:34:54  7.54 
17/11/2023    11:34:55  7.53 
17/11/2023    11:34:57  7.53 
17/11/2023    11:34:59  7.53 
Stopped
17/11/2023    11:35:38  7.52 
17/11/2023    11:35:39  7.52 
17/11/2023    11:35:40  7.52 
17/11/2023    11:35:41  7.51 
17/11/2023    11:35:43  7.52 
17/11/2023    11:35:44  7.52 
17/11/2023    11:35:45  7.52 
